pcap_file,mode,ip_version,encryption,dh_group,pfs,traffic_type
tunnel_48_AES-256-GCM_20_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,20,False,WhatsApp
tunnel_49_AES-128-CBC_19_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,19,False,ICMP
tunnel_50_AES-256-GCM_20_Email_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,20,True,Email
tunnel_51_AES-256-CBC_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,20,True,WhatsApp
tunnel_52_3DES_14_Web_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,Web
tunnel_53_3DES_20_Web_IPv4_Transport.pcap,Transport,IPv4,3DES,20,True,Web
tunnel_54_AES-256-GCM_20_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,True,Video
tunnel_55_AES-256-GCM_19_Video_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,19,False,Video
tunnel_56_3DES_14_ICMP_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,ICMP
tunnel_57_AES-128-CBC_14_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,True,WhatsApp
tunnel_58_AES-128-CBC_19_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,19,True,Video
tunnel_59_AES-128-CBC_20_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,20,False,ICMP
tunnel_60_AES-256-GCM_20_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,20,True,Web
tunnel_61_AES-128-CBC_14_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,True,WhatsApp
tunnel_62_AES-128-CBC_19_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,19,True,VoIP
tunnel_63_AES-256-CBC_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,True,Video
tunnel_64_AES-256-CBC_20_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,20,False,Video
tunnel_65_AES-256-GCM_20_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,True,Web
tunnel_66_AES-128-CBC_19_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,19,True,VoIP
tunnel_67_AES-256-GCM_14_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,False,VoIP
tunnel_68_AES-256-GCM_14_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,14,True,Video
tunnel_69_AES-128-CBC_20_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,20,True,Web
tunnel_70_AES-128-CBC_14_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,14,True,ICMP
tunnel_71_AES-256-CBC_20_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,True,WhatsApp
tunnel_72_AES-256-CBC_20_Email_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,20,False,Email
tunnel_73_AES-256-GCM_14_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,Web
tunnel_74_AES-128-CBC_20_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,20,True,Email
tunnel_75_AES-256-CBC_14_Email_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,False,Email
tunnel_76_AES-256-GCM_14_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,Web
tunnel_77_AES-128-CBC_19_Email_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,19,False,Email
tunnel_78_AES-256-GCM_14_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,14,True,ICMP
tunnel_79_AES-256-CBC_14_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,True,VoIP
tunnel_80_AES-256-CBC_20_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,False,Video
tunnel_81_AES-256-GCM_14_Video_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,True,Video
tunnel_82_3DES_19_VoIP_IPv4_Transport.pcap,Transport,IPv4,3DES,19,True,VoIP
tunnel_83_AES-256-CBC_19_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,True,Web
tunnel_84_AES-256-CBC_14_Video_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,14,False,Video
tunnel_85_AES-256-GCM_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,False,Video
tunnel_86_AES-256-GCM_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,False,ICMP
tunnel_87_AES-128-CBC_14_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,14,True,Email
tunnel_88_AES-256-CBC_20_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,20,True,ICMP
tunnel_89_AES-128-CBC_20_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,20,False,ICMP
tunnel_90_3DES_14_VoIP_IPv4_Transport.pcap,Transport,IPv4,3DES,14,False,VoIP
tunnel_91_AES-256-CBC_20_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,False,Web
tunnel_92_3DES_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,True,ICMP
tunnel_93_3DES_19_Email_IPv6_Transport.pcap,Transport,IPv6,3DES,19,False,Email
tunnel_94_AES-256-GCM_19_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,True,WhatsApp
tunnel_95_AES-256-CBC_20_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,20,False,WhatsApp
tunnel_96_AES-128-CBC_20_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,20,True,Web
tunnel_97_AES-128-CBC_20_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,20,False,VoIP
tunnel_98_3DES_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,False,ICMP
tunnel_99_AES-256-GCM_19_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,True,ICMP
tunnel_100_AES-256-CBC_19_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,19,True,WhatsApp
tunnel_101_AES-128-CBC_14_Video_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,True,Video
tunnel_102_AES-128-CBC_20_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,20,False,ICMP
tunnel_103_AES-128-CBC_19_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,19,False,VoIP
tunnel_104_AES-256-GCM_14_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,False,ICMP
tunnel_105_AES-256-CBC_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,False,Web
tunnel_106_AES-256-CBC_19_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,True,ICMP
tunnel_107_AES-256-CBC_19_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,19,False,Web
tunnel_108_AES-256-GCM_19_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,False,VoIP
tunnel_109_AES-256-GCM_14_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,14,True,VoIP
tunnel_110_AES-256-CBC_20_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,20,False,Email
tunnel_111_AES-256-CBC_19_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,False,VoIP
tunnel_112_3DES_19_Web_IPv4_Transport.pcap,Transport,IPv4,3DES,19,True,Web
tunnel_113_AES-256-CBC_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,True,ICMP
tunnel_114_AES-256-CBC_19_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,19,True,ICMP
tunnel_115_AES-256-CBC_19_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,False,ICMP
tunnel_116_3DES_14_VoIP_IPv4_Transport.pcap,Transport,IPv4,3DES,14,False,VoIP
tunnel_117_AES-256-CBC_19_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,True,ICMP
tunnel_118_AES-256-CBC_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,False,ICMP
tunnel_119_AES-256-GCM_19_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,False,ICMP
tunnel_120_3DES_20_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,20,True,WhatsApp
tunnel_121_AES-256-CBC_19_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,19,True,Web
tunnel_122_AES-256-CBC_14_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,14,False,WhatsApp
tunnel_123_3DES_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,20,False,WhatsApp
tunnel_124_3DES_20_ICMP_IPv4_Transport.pcap,Transport,IPv4,3DES,20,False,ICMP
tunnel_125_AES-256-CBC_20_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,20,True,Email
tunnel_126_AES-128-CBC_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,20,False,WhatsApp
tunnel_127_AES-128-CBC_20_Email_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,20,False,Email
tunnel_128_AES-256-GCM_19_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,True,Web
tunnel_129_3DES_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,True,ICMP
tunnel_130_AES-256-GCM_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,14,False,Web
tunnel_131_AES-128-CBC_20_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,20,False,Email
tunnel_132_3DES_20_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,True,ICMP
tunnel_133_3DES_20_Email_IPv6_Transport.pcap,Transport,IPv6,3DES,20,False,Email
tunnel_134_3DES_14_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,WhatsApp
tunnel_135_3DES_14_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,False,Email
tunnel_136_AES-128-CBC_14_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,False,ICMP
tunnel_137_AES-256-CBC_14_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,14,False,Email
tunnel_138_AES-128-CBC_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,19,False,Video
tunnel_139_AES-128-CBC_19_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,19,True,WhatsApp
tunnel_140_3DES_14_Email_IPv6_Transport.pcap,Transport,IPv6,3DES,14,True,Email
tunnel_141_AES-128-CBC_14_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,True,VoIP
tunnel_142_AES-256-GCM_14_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,Web
tunnel_143_3DES_14_VoIP_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,VoIP
tunnel_144_AES-128-CBC_19_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,19,True,Video
tunnel_145_3DES_20_VoIP_IPv6_Transport.pcap,Transport,IPv6,3DES,20,False,VoIP
tunnel_146_AES-256-GCM_20_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,20,False,VoIP
tunnel_147_3DES_20_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,20,False,Web
tunnel_148_3DES_14_Video_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,Video
tunnel_149_3DES_14_Video_IPv4_Transport.pcap,Transport,IPv4,3DES,14,False,Video
tunnel_150_AES-256-GCM_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,ICMP
tunnel_151_AES-256-CBC_20_Video_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,20,False,Video
tunnel_152_AES-128-CBC_19_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,19,True,VoIP
tunnel_153_AES-128-CBC_20_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,20,False,Web
tunnel_154_AES-256-CBC_14_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,False,Email
tunnel_155_AES-256-CBC_19_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,True,WhatsApp
tunnel_156_3DES_19_VoIP_IPv6_Transport.pcap,Transport,IPv6,3DES,19,True,VoIP
tunnel_157_AES-256-CBC_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,False,ICMP
tunnel_158_AES-128-CBC_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,19,True,Video
tunnel_159_AES-256-CBC_19_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,False,Web
tunnel_160_AES-256-CBC_20_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,True,ICMP
tunnel_161_3DES_20_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,True,ICMP
tunnel_162_AES-256-GCM_20_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,False,VoIP
tunnel_163_AES-256-CBC_20_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,20,False,ICMP
tunnel_164_AES-256-GCM_19_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,19,False,WhatsApp
tunnel_165_AES-256-GCM_19_Email_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,19,False,Email
tunnel_166_AES-256-CBC_19_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,True,Web
tunnel_167_AES-256-GCM_20_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,20,True,ICMP
tunnel_168_3DES_19_Video_IPv4_Transport.pcap,Transport,IPv4,3DES,19,True,Video
tunnel_169_AES-256-CBC_14_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,False,VoIP
tunnel_170_AES-128-CBC_14_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,False,ICMP
tunnel_171_AES-256-GCM_20_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,20,False,VoIP
tunnel_172_3DES_14_Video_IPv6_Transport.pcap,Transport,IPv6,3DES,14,True,Video
tunnel_173_AES-256-CBC_19_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,19,True,Web
tunnel_174_AES-256-CBC_20_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,20,False,WhatsApp
tunnel_175_AES-256-GCM_14_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,14,False,ICMP
tunnel_176_AES-256-CBC_19_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,False,Video
tunnel_177_AES-256-GCM_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,20,True,WhatsApp
tunnel_178_AES-256-CBC_14_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,14,True,VoIP
tunnel_179_AES-256-CBC_14_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,False,Email
tunnel_180_AES-256-GCM_20_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,20,True,VoIP
tunnel_181_AES-256-GCM_19_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,False,VoIP
tunnel_182_3DES_14_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,14,True,Web
tunnel_183_AES-128-CBC_14_Video_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,14,True,Video
tunnel_184_AES-256-CBC_20_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,False,VoIP
tunnel_185_AES-256-CBC_20_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,False,VoIP
tunnel_186_3DES_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,20,True,WhatsApp
tunnel_187_AES-256-CBC_20_VoIP_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,20,True,VoIP
tunnel_188_AES-128-CBC_14_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,14,False,Video
tunnel_189_AES-256-GCM_19_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,False,WhatsApp
tunnel_190_AES-256-GCM_20_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,True,WhatsApp
tunnel_191_3DES_19_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,19,True,Video
tunnel_192_3DES_19_VoIP_IPv6_Transport.pcap,Transport,IPv6,3DES,19,True,VoIP
tunnel_193_3DES_14_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,14,True,WhatsApp
tunnel_194_AES-256-GCM_14_ICMP_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,True,ICMP
tunnel_195_AES-256-GCM_14_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,14,True,Web
tunnel_196_AES-256-CBC_19_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,19,True,ICMP
tunnel_197_AES-256-GCM_20_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,20,True,ICMP
tunnel_198_AES-128-CBC_14_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,14,True,WhatsApp
tunnel_199_AES-256-GCM_20_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,False,ICMP
tunnel_200_AES-128-CBC_14_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,14,False,VoIP
tunnel_201_3DES_19_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,3DES,19,True,WhatsApp
tunnel_202_AES-256-GCM_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,14,False,Web
tunnel_203_3DES_20_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,3DES,20,False,WhatsApp
tunnel_204_AES-256-GCM_14_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,Web
tunnel_205_AES-128-CBC_14_VoIP_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,14,False,VoIP
tunnel_206_AES-256-GCM_19_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,False,ICMP
tunnel_207_AES-256-CBC_19_Email_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,False,Email
tunnel_208_AES-128-CBC_20_Video_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,20,False,Video
tunnel_209_3DES_14_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,False,Email
tunnel_210_AES-256-GCM_14_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,False,VoIP
tunnel_211_3DES_14_Web_IPv6_Transport.pcap,Transport,IPv6,3DES,14,False,Web
tunnel_212_AES-128-CBC_19_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,19,False,VoIP
tunnel_213_AES-256-CBC_19_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,19,False,ICMP
tunnel_214_AES-256-GCM_20_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,False,Web
tunnel_215_AES-256-GCM_19_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,19,True,Web
tunnel_216_AES-256-GCM_14_Email_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,True,Email
tunnel_217_3DES_20_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,20,False,WhatsApp
tunnel_218_AES-256-CBC_14_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,False,WhatsApp
tunnel_219_AES-128-CBC_14_WhatsApp_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,14,False,WhatsApp
tunnel_220_AES-256-CBC_19_Email_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,False,Email
tunnel_221_AES-256-CBC_14_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,14,True,Web
tunnel_222_AES-256-GCM_20_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,20,True,ICMP
tunnel_223_AES-256-CBC_20_Video_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,20,False,Video
tunnel_224_AES-256-GCM_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,14,False,Web
tunnel_225_3DES_14_Web_IPv6_Transport.pcap,Transport,IPv6,3DES,14,True,Web
tunnel_226_3DES_20_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,20,True,Web
